id,host_id,name,neighbourhood_cleansed,cluster_kmeans
566028065891205462,314755342,Cosy Private Room  - In the Heart of Copenhagen,Indre By,0
566352066346120322,352513795,Central beliggenhed i gammelt renoveret byhus-Blue,Indre By,0
566464245013870711,191304024,Skøn lejlighed m tagterrasse og gratis parkering.,Valby,0
566492033229506915,205325846,Charming Retreat in the Heart of Copenhagen,Indre By,0
566582542951608489,213580497,Cozy apartment in the heart of Vesterbro,Vesterbro-Kongens Enghave,3
566633330143691483,135697896,Unique penthouse apartment near the city center,Frederiksberg,0
566641908701700554,67698065,Newly renovated 2 room apts. 5 min to CPH downtown,Amager st,0
566682176110526980,270740984,View from the 18th floor over whole of Copenhagen.,Valby,0
566953333212472144,437864658,Sanders City - Nimble 1 Bdr Apt In the Capital,Indre By,4
567226280723273848,446143468,Charmerende hus tæt på metro - med elskværdig kat,Amager Vest,4
567333316366935085,90769505,Couples retreat in Frederikberg near city center,Frederiksberg,0
567921517899225720,424093643,"HCØ, 3._Lovely roof apartment in Frederiksberg",Frederiksberg,4
567935381950823722,31603150,!! Private room in lovely central placed apartment,Amager st,0
567956789011741600,66904426,Fantastic Frederiksberg apartment with 2 balconies,Frederiksberg,1
567970668709722845,158498702,Lejlighed Indre by,Indre By,0
568164317016347650,65325218,"Bright 3 room apt w/Green space, Balcony & Terrace",Nrrebro,0
568405797917630718,4330395,Skøn lejlighed med altan - rolig og tæt på alt,Frederiksberg,4
568666050761884302,83512874,"Dejligt, familievenligt byhus med gårdhave",Nrrebro,4
569206313114602789,11170181,Beautiful TinyHouse close to the beach + metro,Amager st,4
569257338305790919,50271471,Skøn og central lejlighed i hjertet af Nørrebro,Nrrebro,0
570069424085762577,27782163,2 floor apartment with rooftop terrace,Bispebjerg,4
570243912112036859,16397190,Skøn herskabslejlighed på Østerbro,sterbro,4
570337036289613325,124115688,Lovely condo in central Copenhagen,Nrrebro,0
570822362775813229,4927052,Flat with city views in lively Vestebro,Vesterbro-Kongens Enghave,2
571438555611277575,388032366,Skøn og lys lejlighed i et stille område,Valby,0
571589450926500079,136406951,Skøn lejlighed tæt på skov og vandet,Amager Vest,4
571606820475995436,46049998,Bright and spacious apartment in Vesterbro,Vesterbro-Kongens Enghave,3
571655428687851125,13725230,Top floor apartment with a beautiful view,Vesterbro-Kongens Enghave,3
571789270595869495,74641730,Central scandi-styled home,Vesterbro-Kongens Enghave,1
571796222127458501,54656822,Whole apartment in Copenhagen habour area,Vesterbro-Kongens Enghave,4
572270547954685121,188131101,Bright and spacious apartment,Frederiksberg,0
572906205776039060,85033812,Nice interior design apartment.,Frederiksberg,1
572913022469413261,34881576,Centrally located townhouse with private terraces,Indre By,4
572934510430455045,9212985,Colourful Danish design central home with balcony,Vesterbro-Kongens Enghave,3
573063666335919154,444345140,!! Renovated private room with sunny garden,Brnshj-Husum,0
573069272745401388,444345140,!!! Renovated private room with sunny garden,Brnshj-Husum,0
573221359876208532,6638688,Skøn lys lejlighed med udsigt til nørrebroparken,Nrrebro,0
573713581765120878,187610263,Close to the lakes - 4 people - 2b - super view -,Frederiksberg,1
574331798804363199,82688876,Nørrebro lejlighed tæt v. metro,Nrrebro,0
574342446740161308,57985551,Cozy and bright apartment,Amager st,0
574425967915359632,5693076,"Big charming flat, with little charming cat",Valby,4
575844865159754284,245742,Værelse i lys lejlighed med altan i Carlsberg Byen,Vesterbro-Kongens Enghave,3
575971658759854641,445224560,Small mini house 10 min from Copenhagen centrum,Amager Vest,0
576082888433569880,4768389,Lovely new condo with private patio space,Vesterbro-Kongens Enghave,3
576427916013608606,442896979,Hyggeligt værelse med eget køkken og bad,Valby,0
576550297798498077,414140736,Lys lejlighed med altan i hjertet af Nørrebro,Nrrebro,0
576653091718678057,85043734,Lovely spacious apartment with balcony,Valby,0
576664350428281811,403549641,Skøn renoveret lejlighed med 2 stuer og 2 værelser,Amager Vest,4
577327727635226409,88854998,Your new chill home in CPH < 3,Vesterbro-Kongens Enghave,3
577390843138309730,13762195,Centrally located apartment with sunny balcony,Indre By,0
577423938285957258,448414155,København V / Vesterbro,Vesterbro-Kongens Enghave,3
577528695190995511,4217635,Beautiful family villa with lovely garden,Amager Vest,2
577997872207383714,246392030,"Lovely apartment by Bopa Plads, Østerbro",sterbro,0
578278841472400157,448630579,Expat-Friendly Luxury Apartment in central CPH,Vesterbro-Kongens Enghave,3
578641920091940431,187610263,"""gem"" close to the harbor, islands brygge - gunløg",Amager Vest,0
579036502492855019,846204,Unique space in three levels,Vesterbro-Kongens Enghave,1
579459557409062576,188907775,Cosy apartment in Copenhagen,Nrrebro,0
579682874500676445,254471464,Stor lys lejlighed ved Frederiksberg Allé,Frederiksberg,1
580056114353144029,84503952,Bright appartment in Nørrebro,Nrrebro,0
580987180826804301,43407055,Central appartment next to The Lakes,sterbro,1
581041467777494676,120372197,The Admiral House - apartment in historic building,Indre By,1
581050074621220869,14957574,64 kvm med altan på Nørrebro i Kbh,Nrrebro,0
581515972788601931,180841572,Charming  flat in the Valby district of Copenhagen,Valby,0
581587113143936699,163890263,Stor og charmerende lejlighed på indre Nørrebro,Nrrebro,2
581764641911249937,69485238,Charming apartment in New Yorker style,Nrrebro,0
581797354722140082,332917311,Cosy flat in Cophenhagen!,Brnshj-Husum,0
581854522497909053,58629052,High-end luxury apartment on Islands Brygge.,Amager Vest,4
581894275549751259,48497844,Central apartment in Copenhagen with 2 balconies,sterbro,0
582248233584423685,20683071,"Skøn, lys designer-lejlighed i hjertet af Kbh <3",Indre By,0
582377120434450658,49071389,Cozy apartment close to the harbour,Amager Vest,0
582492163239728640,4965501,"Loft style, light & art-filled home",Bispebjerg,4
582512574524690743,449543380,200 m2 skøn lejlighed ved søerne - tæt på alt,Frederiksberg,1
582974358344163409,44893105,Lovely apartment in the heart of Vesterbro,Vesterbro-Kongens Enghave,3
583047484931723096,7845500,Wonderful place in the most cozy area of CPH,Indre By,0
583073149378905300,2037881,"Charming apartment, City center",Indre By,0
583181642515449991,6175322,Vidunderligt byhus tæt på Københavns centrum,Brnshj-Husum,4
583319442519133617,97015967,Spacey apartment with canal view near city centre,Vesterbro-Kongens Enghave,2
583418348970250098,138381265,Charming apartment in Vesterbro,Vesterbro-Kongens Enghave,4
583677799259029404,47950101,2-værelses lejlighed på Nørrebro,Nrrebro,0
583808302106399264,53072620,Nordic Cozy 2-Storage Apartment,Frederiksberg,4
584081365555622786,1345039,Exclusive Townhouse - Easter holiday offer,Vanlse,2
584416241546566204,8845358,"Cosy house with trampoline, chickens & greenhouse",Amager Vest,4
584437881515498466,5518410,Amazing apartment | Sunshine! | Green view | Quiet,Vesterbro-Kongens Enghave,2
585272489335919920,21954838,Spacious apartment in Carlsbergbyen,Frederiksberg,4
585387834564103226,141518920,Stylish and historical condo in central Copenhagen,Indre By,1
585575772021737308,15901352,Bright CPH urban oasis (93m) w/ balcony & parking,Valby,0
585730547571611595,64758868,The Carlsberg Apartment · Patio · 1 Bedroom,Vesterbro-Kongens Enghave,3
586131174710883856,128792442,Family friendly apartment with balcony,Nrrebro,4
586245406400907122,2876872,A new & modern 2 room apartment next to water,sterbro,0
586656378137844614,43105796,Cosy modern penthouse,Frederiksberg,0
586756198751220385,10197008,Carlsberg city apartment next to the ‘Kridttårnet’,Vesterbro-Kongens Enghave,4
586779508110286010,102750765,Charmerende lejlighed med altan,sterbro,0
586782424581512086,23384859,Nice apartment with free parking,Amager Vest,4
586803202600651094,58731387,Lovely two-bedroom apartment in central Copenhagen,Frederiksberg,0
586810034609652774,48167206,Hyggelig 2-værelses lejlighed i København,Bispebjerg,0
586823869708281627,450442283,Large and bright apt in Nørrebro,Nrrebro,4
586844689963574240,449992707,Cozy apartment in Copenhagen,sterbro,4
586895189210928773,166424505,"Skøn stor lejlighed på Frederiksberg,",Frederiksberg,4
586920176644872867,450472992,Perfekt lejlighed i hjertet af København!,Indre By,1
587422086971970581,248476528,TWO STORY ROOFTOP APARTMENT WITH PRIVATE TERRACE,Nrrebro,4
587443759645372390,39926819,"Bright, charming apartment with balcony",Nrrebro,0
587543850433570194,3232428,Skøn lejlighed tæt på Centrum,Nrrebro,4
587720878009623014,166775218,"Skøn lejlighed i København, med stor altan",Indre By,4
588414833106029871,10186179,3 værelses lejlighed i København K,Indre By,4
588769404522189355,283385118,Large Bedroom - Prime location in Nørrebro,Nrrebro,0
588828023262481759,138743792,Beautiful apartment in Copenhagen,Valby,0
588848687706598850,20723351,Apartment in the best location - Vesterbro,Vesterbro-Kongens Enghave,3
589112527847211348,272645010,"Clean, cosy, ocean view, heart of Copenhagen",Amager Vest,0
589121683988145862,14712807,Bo centralt i København,Indre By,4
590215311632825788,134855720,60's Apartment with a Nice View,Bispebjerg,0
591075111565396105,83674649,Skøn lejlighed kun 500 m fra Christianshavn,Amager st,2
591089804526827522,88871704,"Lovely top floor apartment, centrally located",Vesterbro-Kongens Enghave,3
591090844567975248,98449166,Skøn lejlighed i hjertet af Nørrebro,Nrrebro,0
591138124043067215,197495717,Unik og historisk lejlighed ved Kongens Have,Indre By,0
591200961397014913,193379060,Cozy apartment with balcony in the heart of CPH,Vesterbro-Kongens Enghave,3
591294115830702102,31298664,Skøn lejlighed i hyggeligt kvarter i København,Amager Vest,0
591880822297552335,171014653,Big  quiet apartment in Copenhagen  2 min to Metro,Nrrebro,0
591968910197108176,16115516,Amazing Views & Sunsets - Carlsberg District,Frederiksberg,2
592442270824137257,415811415,Skøn og hyggelig 2-værelses i hjertet af Amagerbro,Amager st,0
592508534932509966,97642469,"Newly renovated with balcony, heart of Nørrebro",Nrrebro,0
592519561158899876,10694949,Beautiful bohemian apartment in Frederiksberg,Nrrebro,0
592704042016213175,6917905,Spacious apartment with balcony in Vesterbro,Vesterbro-Kongens Enghave,3
592708010624768317,211691889,Skøn lejlighed tæt på Amager strand,Amager st,0
592734915747733315,32771206,Cozy private room in Nordvest for single or couple,Bispebjerg,0
593080842962827667,276201,Charming 4-room apartment in prime location,Nrrebro,0
593119178141325275,428338338,Modern apartment in a quiet area,Vesterbro-Kongens Enghave,3
593402639811760028,13311195,Family house close to airport and city,Amager st,2
593405878274747830,857936,Light and charming 2 bedroom apartment in hip area,Bispebjerg,0
593435399173648956,36968674,Lovely apartment in Frederiksberg,Frederiksberg,0
593853850705006923,451910781,Lejlighed med stor privat tagterrasse,Valby,0
593871822681102220,69745206,Apartment by the lakes with balcony,Indre By,0
594026253041180039,39135697,Nice cozy apartment in Nørrebro,Nrrebro,0
594038015382458480,5273475,"Bright, quiet, spacious and cozy apartment",Frederiksberg,0
594611857554778787,400037748,Bright City Centre Apartment · Canalfront View,Indre By,0
594709893980862734,115454446,Little Oasis in the center of Vesterbro,Vesterbro-Kongens Enghave,3
594915153646472404,49832127,Lovely 2-bedroom apartment with free parking,Amager st,4
594976433734494934,452146677,Copenhagen center,Vesterbro-Kongens Enghave,3
595387578289533695,426871814,Tivoli Gardens Apartment w/3BR for 7 People,Indre By,2
595406416554627669,440150917,Skøn lys lejlighed på Østerbro,sterbro,0
595496436575515320,357121742,Skøn lejlighed i centrum af København,Indre By,0
595578200737813832,200333390,Warm and lovely apartment in Copenhagen,sterbro,0
595637137943575818,4360880,Skønt hus med egen have tæt på Københavns centrum,Brnshj-Husum,4
595662982457070399,63765992,Hyggeligt hus i grønne omgivelser,Amager Vest,4
596044943426031106,13193693,Perfectly located stylish Nordic apartment,Vesterbro-Kongens Enghave,4
596057638521184848,376035924,Vidunderligt byhus ved Kalvebod fælled og city,Amager Vest,2
596073504592325082,8043235,Lovely condo in the 8-house,Amager Vest,2
596101910427988896,6711454,"Lovely & cosy apartment at Nørrebro,  with balcony",Nrrebro,0
596356197633652143,109297114,"Charmerende lejlighed tæt på by, strand og metro.",Amager st,4
596686756971057531,4274622,Skøn og lys lejlighed på Nørrebro,Nrrebro,0
596963902851452542,16631784,Apartment close to metro and beach,Amager st,0
596970476386669788,184542702,Lejlighed i København,Vanlse,0
597025541175127222,20473016,"House w garden, luxurious terrace (metro/beach)",Amager st,4
597064060686046804,4432456,Half town house with garden,Indre By,1
597343664195544091,2553416,Copenhagen townhouse w/ private garden & parking,Bispebjerg,2
597640832572553307,33975916,"Big place for family, w. balcony, close to metro",Vesterbro-Kongens Enghave,3
597733639717913225,65779434,Skøn lejlighed med gårdhave,Nrrebro,4
597792337328129745,141517733,Central apartment at Østerbro - near Nordhavn st.,sterbro,0
597836828269951912,6264921,Lovely apartment in central Nørrebro by the lakes,Nrrebro,0
598255019266055187,26239741,Smuk 3 værelses lejlighed i hjertet af København,Indre By,0
598260050933995373,144925542,Charming and central 2 room apt.,Nrrebro,0
598314835640881907,75459096,Colorful two room apartment at quiet Østerbro,sterbro,0
598326412003078110,203102406,Hyggelig 3 værelses lejlighed med altan,Nrrebro,4
598517528564885370,15727444,"Copenhagen, Nyhavn  - Sightseeing and Shopping",Indre By,1
598542406095165269,363059602,Dejlig lejlighed på Vesterbro i København,Vesterbro-Kongens Enghave,4
598919124246868860,22053342,"Skønt hus, tæt på både centrum og dejlig natur.",Valby,4
598953364239880310,2444067,Æstetisk smuk og velindrettet villa,Amager Vest,2
599025090754189295,57893015,2 værelses lejlighed tæt på København,Valby,0
599066844557041967,437864658,Sanders Regent - Cozy 1-Bdr Apt with Terrace,Indre By,1
599110858065395070,915983,Spacious room in a shared apartment - Copenhagen,Vanlse,0
599135609966095339,145677229,Lovely and furnished 2 room apartment near water,Vesterbro-Kongens Enghave,3
599241665613840319,187610263,Close to the lakes - 4 people - 4 people - 2 bedro,sterbro,4
599671518244799282,437864658,Sanders Regent - Endearing 1-Bdr Apt,Indre By,1
599778664804225793,131294717,Skøn lejlighed med altan på Nørrebro,Nrrebro,0
599972248205576285,210865735,"Spacious flat, prime location",Nrrebro,4
600413299071434362,2912957,Charming Classic Copenhagen!,sterbro,0
601066531867444282,173313384,Beautiful apartment Copenhagen East,sterbro,4
601083484577389233,348434900,Rimor campervan - fyldt med charme og gode eventyr,Nrrebro,0
601111865543184036,453152194,"Skandinavisk, minimalistisk lejlighed i KBH NV",Bispebjerg,0
601302730873506937,247379882,Skipper's Sailor Penthouse,Indre By,0
601302779080861596,247379882,Skipper's Designer Suite,Indre By,0
601302803110293469,247379882,Skipper's Apartment,Indre By,4
601324769857873728,453473332,Skøn lille lejlighed i det centrale København.,Indre By,0
601820830449989046,15861252,Hyggelig kælder værelse i villa tæt på stranden,Amager st,0
601858607575514163,16737622,Spacious apartment with private garden,Frederiksberg,0
601973988854405610,44675358,Stor lys lejlighed,Amager Vest,4
601979025958857202,453599239,Stille oase tæt på centrum.,sterbro,0
602016508480623213,36404135,« Terrace House - Modern Condo + Private Patio »,sterbro,1
602016950205324742,106627738,5 min walk to Bella Sky Conference/ Metro/Airport,Amager Vest,0
602106333618566445,38386996,"Colourful, stylish family apartment in Vesterbro",Vesterbro-Kongens Enghave,4
602108035373304418,395919317,Cozy apartment in the middle of Nørrebro,Nrrebro,0
602928871224084395,62143918,Cabin in yacht with heat and hot water,Indre By,0
603245567156163287,16941795,Lovely sunny bacony - Just  private - on top floor,Bispebjerg,4
603398617445437935,99088218,Cute colorful copenhagen apartment,Bispebjerg,0
603919366618478959,198235904,Lejlighed med vestvendt altan centralt på Østerbro,sterbro,0
604250015242966237,2137064,Stylish apartment with big private roof terrace,sterbro,1
604721110000437372,30757472,2 room apartment central Copenhagen with balcony,sterbro,0
604864099879521046,452978635,Spacious apt | 5 min walk to the Little Mermaid,Indre By,1
605976745473631872,141899554,Familievenligt hyggeligt hus m. parkering,Amager Vest,4
606229100811966298,92153726,Skøn og rummelig lejlighed med gårdhave,Nrrebro,0
606338499370295071,8285425,Skøn rolig lejlighed med altan,Bispebjerg,0
606484459480669090,31603150,!! Nice room in lovely central placed apartment,Amager Vest,0
606504608494894144,31603150,Nice room in lovely central placed apartment,Amager Vest,0
607091834694412201,347530657,Hyggelig 1 værelses på Østerbro,sterbro,0
607179022426889940,52230818,"Luxury apartment, with a view of Copenhagen",Amager Vest,0
607640855653786166,276770941,"close to Amager beach, metro and inner city",Amager st,0
607676142522925829,104529343,New luxury apartment with stunning views,Vesterbro-Kongens Enghave,2
607678105257695847,437675172,Perfect 3BR Apartment for up to 7 People,Indre By,1
607756939971420387,68106128,"Lovely, large apartment in Frederiksberg center",Frederiksberg,4
607790815663534252,214234107,Spacious child friendly apartment,sterbro,4
607904608921274187,15080779,Stor lejlighed med fantastisk beliggenhed,Nrrebro,4
607908229229955490,14598054,"Lovely, big 2-bedroom condo in Copenhagen",Vesterbro-Kongens Enghave,4
607981178210359842,23351289,Apartment near Copenhagen centrum,Amager Vest,0
608647993745625621,12730200,"Beautyful, spacious flat close to the citycenter.",sterbro,1
608652095851595635,131142980,Spacious loft apartment in Nørrebro,Nrrebro,1
608678975793814088,65716900,Stor familievenlig lejlighed med altan og gård,Vesterbro-Kongens Enghave,4
608697000865271227,32490260,Charmerende lejlighed centralt på Frederiksberg,Frederiksberg,0
608949518146421384,151268763,Lejlighed med stor altan tæt på metro,Vanlse,4
608966325040529326,354066853,Bright sunny room,Nrrebro,0
609068437427659659,8576674,Maximalist magic in the heart of Copenhagen,Indre By,0
609146809673815858,455144294,Tropisk lejlighed tæt på alting,Nrrebro,0
609152810349935006,455145441,Villalejlighed i børnevenligt område tæt på city.,Brnshj-Husum,4
609244948945775518,455166711,"Skøn lejlighed med altan, flot udsigt og gårdhave",Frederiksberg,1
609361036704599842,16425452,Luxury apt. CPH city center Christianshavn,Indre By,0
609402390849878343,435969457,Skøn lejlighed på Vesterbro,Vesterbro-Kongens Enghave,3
610556365001754482,88038490,Cozy apartment in hip Copenhagen neighbourhood,Nrrebro,0
610720662459199602,89798228,Spacious and beautiful villa 5km from Cph. City,sterbro,2
611179654813478793,26333918,Wonderful penthouse apartment with cozy terrasse,Frederiksberg,1
611278142515911137,4789604,Beautiful Villa near the beach - light & airy.,Amager st,1
611284840181747504,76533020,Skøn loftslejlighed på Østerbro,sterbro,0
611332941500839713,4381789,Cozy 2 bedroom in the world’s coolest hood,Nrrebro,4
611427956850661771,27783993,Cozy apartment in Copenhagen NV,Bispebjerg,4
612268598224728731,82619470,Skøn og moderne lejlighed tæt på Indre København,Valby,4
613008269596368091,312607771,Dejlig lejlighed tæt ved søerne,Nrrebro,0
613432949648909709,76489075,Smagfuldt byhus - særligt velegnet for allergikere,Indre By,4
613436106298084999,25605152,Afslappet 2v på Nørrebro,Nrrebro,0
613522583153575116,16539396,Spacious apartment ideal for families,Vesterbro-Kongens Enghave,2
613594047320882991,270944610,Generator - Private 8 bed room,Indre By,1
613602816637414547,110827814,Cozy apartment in the heart of Østerbro,sterbro,0
613672211852516358,14278154,Stor lys og moderne lejlighed m privat solterrasse,Valby,4
614237515797644451,125337479,Bright 2-room flat close to beach & free parking,Amager st,0
614281081270497330,12579902,Cph: Central & Bright Apt. w. Balcony,Nrrebro,0
614297669763961679,410482928,Child & Gluten free friendly 2B with Rooftop,sterbro,0
614317846820976960,53072620,Room in cozy nordic 2storage condo - free parking,Frederiksberg,4
614370345221725432,13562206,Skøn lejlighed i København,Vesterbro-Kongens Enghave,3
614461317166186400,3376293,Amazing townhouse in the middle of Copenhagen,Frederiksberg,4
614465880495874196,456338857,Charmerende lejlighed tæt på byen og smuk natur,Amager Vest,0
614524321575627819,187610263,Christianshavn - Maritime Neighbourhood - 2 People,Indre By,0
614952563023689550,208446521,Farverig og lys lejlighed i hjertet af Nørrebro,Nrrebro,0
615062904929087231,51729644,Skøn lejlighed med egen have,Bispebjerg,0
615127367340522124,1514873,Arkitekttegnet hus i grønne omgivelser,Vesterbro-Kongens Enghave,2
615164060779353165,94574464,Charming basement apartment in villa,Amager st,0
615298088073813118,6092332,Unique Room in great quiet backyard flatshare,Vesterbro-Kongens Enghave,3
615549642781380409,167497971,Skøn lejlighed i Københavns hippe kvartér,Vesterbro-Kongens Enghave,3
615681717296294399,30544870,Small apartment in a great location,sterbro,0
615704581017296083,26664993,Unique and charming home in the heart of the city,Vesterbro-Kongens Enghave,3
615935466735123843,47367915,Family friendly townhouse w/ garden and courtyard,sterbro,2
616190075610462606,38580466,Nice apartment w. private garden near Bella Centre,Amager Vest,1
616246998089106247,41882773,Perfect for experiencing the real Copenhagen,Nrrebro,4
616278992040610173,196108865,Room close to center/airport/metro,Amager st,0
616291814072302344,155367748,Hyggelig lejlighed tæt på både centrum og strand,Amager st,0
616491706159582482,280390613,Great apartment near the center.,Amager Vest,0
616494099176536348,456775245,Prime location CPH:  Cosy flat in Islands Brygge,Amager Vest,0
616519914917798034,90601597,Bright 2-floor apt in Vesterbro with a terrace,Vesterbro-Kongens Enghave,3
616545164012634853,241625732,Dejlig lejlighed i roligt kvarter tæt på byen,Valby,0
616612472514791416,30596561,Big apartment/The center of CPH,Indre By,1
617070271433443855,17396248,Cosy and modern apartment with central location,Vesterbro-Kongens Enghave,3
617144844891653368,236574187,Charming Nørrebro-apartment with a sunny balcony,Nrrebro,0
617263969651923316,456823435,Pæn og Autentisk hel lejlighed på Frederiksberg.,Frederiksberg,4
617352293061090382,81641538,Familieidyl i hjertet af KBH med delt tagterrasse,Indre By,2
617363674062321762,298951035,Lys og hyggelig lejlighed,Vesterbro-Kongens Enghave,3
617373085576384860,339983201,Lovely 1 bed room private room close to Norreport,Indre By,0
617714744166797048,393016740,"Bo tæt på centrum, metro, strand og museer.",Amager Vest,0
617904557907767233,66562717,"Cozy apartment at Amagerbro, 3 minutes from metro",Amager st,0
617923283468540885,10206851,Beautiful apartment with balcony in central CPH,sterbro,4
617948435016254424,187610263,Christianshavn - 4 People - 2 Bedrooms - Perfect-f,Indre By,1
618080364721811928,2627292,Most beautiful view in the heart of Nørrebro,Nrrebro,4
618505077631264998,22444475,Skøn toværelseslejlighed i hjertet af Nørrebro,Nrrebro,0
618528933667382623,122876121,Spacious apartment perfect for visiting Copenhagen,Indre By,0
618636834041866747,208303402,Central flat with unique view over Kings Garden,Indre By,0
618676383083565230,177316755,"Lovely 2bedroom condo in Frederiksberg, Copenhagen",Frederiksberg,4
618730045507797696,15390183,Cozy apartment in the green area of Copenhagen,Frederiksberg,4
618766203738060966,417010322,Skøn lys lejlighed på pulserende Nørrebro,Nrrebro,4
618815108719139083,55877811,Vidunderlig villa få kilometer fra KBH centrum,Valby,2
619233860726348848,90030690,Bright and lovely apartment in central Copenhagen.,Amager st,0
619426480282591817,27486279,Cozy two room apartment in Copenhagen!,Bispebjerg,0
619907338147479575,101516224,Lejlighed ved Amager Strand med hav og by udsigt,Amager st,0
619910350287854403,23335265,Vidunderligt familie hus tæt på København og metro,Vanlse,2
619916324322067332,457547747,Cozy and light apartment in central Østerbro,sterbro,0
619917665490659060,74506633,Classic and sunny Nørrebro flat,Nrrebro,0
619935104103850185,351458770,Skøn lejlighed i Indre København med en skøn gård,Indre By,0
620192519271701853,457609047,Lejlighed indre København tæt ved Hovedbanegården.,Vesterbro-Kongens Enghave,3
620224743430752477,104026252,Skøn lejlighed i indre by med hyggelig terrasse,Indre By,0
620277712062653822,456464068,Lys lejlighed tæt ved strand og by,Amager st,1
620632109524893104,91708361,Lys lejlighed i indre Vesterbro,Vesterbro-Kongens Enghave,3
620761159024597414,3663402,Exclusive apartment in waterfront/ city center,Amager Vest,2
620967366503451307,247213933,Cute artist studio apartment,Frederiksberg,0
621375712382693125,170420,Wonderful villa in Copenhagen with a nice garden,Vanlse,2
621506718665315535,97988189,Skøn lejlighed i centrum af København,Indre By,0
621683283968341707,387595546,Hyggeligt og rummeligt hus med have i haveforening,Amager Vest,4
621699651672752547,688923,Vidunderligt byhus med gratis parkering på stedet,Amager Vest,2
622086974346596720,13671841,Hyggeligt byhus - perfekt til storbyferie,Vanlse,2
622160348817184316,101089418,Vidunderlig villa med kort afstand til strand,Amager st,2
622196949840614977,203481800,Beautiful 2-room apartment in the heart of CPH,Nrrebro,0
622368269468200104,159824258,Lovely and Colorful Apartment,Nrrebro,0
622421259815405190,17771932,Central 3 bedroom apartment on Copenhagen lakes,sterbro,2
622438975524432199,5345656,Skøn lejlighed med adgang til hyggelig gårdhave,sterbro,1
622852370168256765,25859393,Skøn børnevenlig familielejlighed med gårdhave,Nrrebro,4
622865227137910128,27983565,Cosy and bright studio in central Copenhagen,Nrrebro,0
623100715235763169,60974504,Spacious and cozy apartment in trendy Vesterbro,Vesterbro-Kongens Enghave,4
623241616517619647,18436473,Lækker lys lejlighed på Vesterbro,Vesterbro-Kongens Enghave,2
623257724163676201,2982283,Cozy apartment in quiet area,Vanlse,0
623453446792242143,146427810,Unique flat close to center!,sterbro,0
623485304639934026,221394426,Charming apartment with free coffe and tea,Brnshj-Husum,0
623732328976873642,458390006,Danish Design in Carlsberg City,Vesterbro-Kongens Enghave,3
623885074854473606,13479251,Comfortable flat in the trendy Nørrebro,Nrrebro,0
623911224407621379,187610263,Sydhavnen - close to water - minimum 7 days (1487/,Vesterbro-Kongens Enghave,3
623925607585924183,78669787,Cosy apartment with balcony in Vesterbro,Vesterbro-Kongens Enghave,3
623940003812798150,187610263,Amager - 4 bedrooms - 6 people - close to metro (1,Amager st,2
624355005320422779,21628912,Design apt in central CPH S,Amager st,4
624566880266178347,282839943,Family friendly apartment with a perfect location,sterbro,1
625092920262765473,301534493,Hyggelig lille københavner lejlighed!,Amager Vest,0
625279257785898716,70373011,Lovely apartment close to metro and grocery store,Nrrebro,0
625333427853574201,193376785,Lejlighed med altan,Frederiksberg,0
625377197823815627,376167920,Skøn central bolig med gårdhave tæt på Metro,Nrrebro,4
625440380733182606,187610263,Amager - 5 People - 2 Bedrooms - Balcony (1490/1),Amager st,1
625792976048340661,78060720,Super Central and Modern Apartment with Balcony,Vesterbro-Kongens Enghave,3
626364250184474726,94216204,Fantastisk rækkehus placeret midt i København,Amager st,4
626505644403839576,458264726,Room - close to everything.,Amager Vest,0
626512767689751424,95556913,Lovely 1-bedroom unit in Copenhagen city center.,Vesterbro-Kongens Enghave,3
626592505985947531,174867480,Peaceful apartment in Frederiksberg,Frederiksberg,0
626735575728215332,187853908,Skøn lejlighed i København - 1 km til metro,Amager st,0
626794830737962883,197242351,Charmerende (hel) lejlighed i hjertet af Østerbro,sterbro,0
627202441170441209,21164696,"Bright, central, and cozy 1 bedroom w/ balconies",Indre By,0
627258650981789133,127477454,Charming apartment located close to Nørrebro,Brnshj-Husum,0
627300477322638374,449345756,Vidunderligt byhus i København,Vesterbro-Kongens Enghave,2
627305248682570349,48386774,Wonderful and light apartment in Copenhagen,Amager Vest,4
627319576634749553,81331605,Spacious and bright apartment on Nørrebro,Nrrebro,4
627345106629812440,114380187,"Aparment close to the City, Metro and the Beach",Amager st,0
627410841564913179,193612324,"Lovely designer-apartment at Vesterbro,Meatpacking",Vesterbro-Kongens Enghave,3
627526624672633338,332639911,Smuk og lys lejlighed på Østerbro,sterbro,0
627540275339332090,2280172,Lejlighed ved søerne med stor altan og grøn gård,Nrrebro,1
628080549614923206,459360666,Skøn lejlighed i København,sterbro,0
628133811513149126,9725833,Villalejlighed med terrasse og have tæt på centrum,Amager Vest,4
628286883381976674,5134493,Skøn 4 værelses lejlighed på Frederiksberg,Frederiksberg,4
628553881668932833,192425485,Apartment in the heart of the hip Copenhagen,Nrrebro,4
628611815204157630,37019852,Spacious townhouse in central Copenhagen,Indre By,2
628723089027390902,459518980,Solrig 2 værelsers lejlighed på Frederiksberg,Frederiksberg,0
628954688804452776,53664155,Cosy apartment with central location in copenhagen,Frederiksberg,0
629019344066763602,36656676,Cozy apartment next to Flintholm Station,Frederiksberg,0
629414976674629655,20279736,Cph - Close to everything,Indre By,0
629447977352832822,94635821,Spacious 3-room apartment in central Nørrebro,Nrrebro,0
629579534535719075,32809534,Dejlig lejlighed centralt beliggende på Nørrebro,Nrrebro,0
